Code,Searched keyword,Index,Job title,Company,Location,Min salary,Max salary,Link
3118,ช่างเขียนแบบ,19,Maintenances /เขียนแบบ และดูแลการก่อสร้าง,บริษัท เรกซ์แซม (ประเทศไทย) จำกัด,อ.เมืองสมุทรปราการ จ.สมุทรปราการ,"15,000","20,000",jobthai.com/th/company/job/1212365
3118,ช่างเขียนแบบ,20,เจ้าหน้าที่เขียนแบบ (ประจำโรงงานที่หทัยราษฎร์),บริษัท เทอร์มินอลซีล แอนด์เซอร์วิส จำกัด,เขตคลองสามวา กรุงเทพมหานคร,"13,000","15,000",jobthai.com/th/company/job/988159
3118,ช่างเขียนแบบ,21,Design Engineer,"Yamashita Mold (Thailand) Co., Ltd.",นิคมอุตสาหกรรมอมตะซิตี้ ระยอง จ.ระยอง,"15,000","18,000",jobthai.com/th/company/job/471135
3118,ช่างเขียนแบบ,22,Prop stylist​,บริษัท กิมมี่ โฮม บางกอก จำกัด,BRT เจริญราษฎร์,"20,000","30,000",jobthai.com/th/company/job/1315633
3118,ช่างเขียนแบบ,23,เจ้าหน้าที่เขียนแบบ (SO00020271),บริษัท อาซีฟา จำกัด (มหาชน),อ.เมืองสมุทรสาคร จ.สมุทรสาคร,"12,000","15,000",jobthai.com/th/company/job/1262934
3118,ช่างเขียนแบบ,24,เจ้าหน้าที่วิศวกรรม,บริษัท เอ็กซ์เท็นซีฟว์ รีเสิร์ช โพลีเมอร์ส จำกัด,อ.พานทอง จ.ชลบุรี,"12,000","15,000",jobthai.com/th/company/job/491006
3118,ช่างเขียนแบบ,25,Application Engineer (Manufacturing Solution),บริษัท ซินเนอร์จี้ซอฟต์ โซลูชั่น จำกัด,เขตดินแดง กรุงเทพมหานคร,"25,000","35,000",jobthai.com/th/company/job/1017080
3118,ช่างเขียนแบบ,26,เจ้าหน้าที่เขียนแบบ(Solidwork) สาขาบางเลน,บริษัท จัมปาก้า จำกัด,อ.บางเลน จ.นครปฐม,"18,000","20,000",jobthai.com/th/company/job/1285140
3118,ช่างเขียนแบบ,27,"พนักงานเขียนแบบงานระบบ,Revit,Bim Modeler",บริษัท อีอีซี เอ็นจิเนียริ่ง เน็ทเวิร์ค จำกัด และบริษัทในเครือ,เขตคันนายาว กรุงเทพมหานคร,"10,000","35,000",jobthai.com/th/company/job/1318486
3118,ช่างเขียนแบบ,28,เขียนแบบ งานสถาปัตย์ งานโยธา เพื่อการยื่นแบบขออนุญาตดัดแปลงอาคาร,บริษัท บริลเลี่ยนท์ พาวเวอร์ จำกัด,เขตราษฎร์บูรณะ กรุงเทพมหานคร,"22,000","25,000",jobthai.com/th/company/job/1326468
